Particle,Energy,Source,Destination,Date
14N2+,48,SPC2,A-line,2018 - 07
4He2+,30,SPC2,G-line,2018 - 07
12C2+,48,SPC2,A-line,2018 - 06
14N2+,48,SPC2,A-line,2018 - 06
p,200,SPC2,S-line,2018 - 06
4He2+,37,SPC2,F-line,2018 - 05
4He2+,48,SPC2,F-line,2018 - 05
19F4+,95,SPC2,A-line,2018 - 04
20Ne4+,125,SPC2,G-line,2018 - 04
p,66,SPC1,S-line,2018 - 03
4He2+,62,SPC2,F-line,2018 - 03
p,50,SPC1,S-line,2018 - 02
p,66,SPC1,S-line,2018 - 02
37Cl6+,155,SPC2,F-line,2018 - 01
19F3+,62,SPC2,F-line,2017 - 12
84K13+,336,SPC2,F-line,2017 - 11
132Xe19+,528,SPC2,F-line,2017 - 11
18O4+,85,SPC2,F-line,2017 - 10
22Ne4+,86,SPC2,A-line,2017 - 10
4He2+,48,SPC2,F-line,2017 - 09
4He2+,47,SPC2,F-line,2017 - 09
18O4+,85,SPC2,F-line,2017 - 09
p,28,SPC1,F-line,2017 - 07
4He2+,200,SPC2,S-line,2017 - 06
p,80,SPC2,S-line,2017 - 05
3He2+,85,SPC2,S-line,2017 - 05
p,100,SPC1,S-line,2017 - 04
p,100,SPC2,S-line,2017 - 04
p,200,SPC2,S-line,2017 - 03
p,200,SPC2,S-line,2017 - 02
4He2+,200,SPC2,S-line,2017 - 02
3He2+,50,SPC2,S-line,2016 - 12
4He2+,120,SPC2,S-line,2016 - 10
3He2+,85,SPC2,S-line,2016 - 08
p,66,SPC1,A-line,2016 - 07
3He2+,50,SPC2,S-line,2016 - 07
p,150,SPC1,F-line,2016 - 07
3He2+,85,SPC2,S-line,2016 - 07
p,66,SPC1,F-line,2016 - 07
p,66,SPC1,A-line,2016 - 06
p,100,SPC2,S-line,2016 - 06
3He2+,50,SPC2,S-line,2016 - 06
p,100,SPC2,S-line,2016 - 05
32S5+,118,SPC2,F-line,2016 - 05
4He2+,68,SPC2,F-line,2016 - 05
36Ar7+,134,SPC2,F-line,2016 - 04
32S5+,118,SPC2,F-line,2016 - 04
4He2+,62,SPC2,F-line,2016 - 03
